image_id,top1_match,logit_cos,eigencam_cc,eigencam_kld,eigencam_topk_iou,eigencam_spearman,eigencam_collapsed,eigencam_flipped
imagenette2-320/val/n01440764/ILSVRC2012_val_00009111.JPEG,1,0.9938418865203857,0.9979415056690708,0.0019288881837414666,0.928068603609369,0.9991156684907483,False,0
imagenette2-320/val/n01440764/ILSVRC2012_val_00009191.JPEG,1,0.9956322908401489,0.9997274755948806,0.0002207746603236126,0.9693837498364517,0.999509288813479,False,0
imagenette2-320/val/n01440764/ILSVRC2012_val_00021740.JPEG,1,0.9941253066062927,0.9992030189578165,0.0008394760169271815,0.944954128440367,0.9992584583038233,False,0
imagenette2-320/val/n01440764/ILSVRC2012_val_00030740.JPEG,1,0.9968098402023315,0.9999283327171842,0.000886742793633875,0.9944348747846826,0.9994906429457691,False,0
imagenette2-320/val/n01440764/ILSVRC2012_val_00037861.JPEG,1,0.9972094297409058,0.9999111474839696,0.000740279881872533,0.9833970220055344,0.9996968661401945,False,0
imagenette2-320/val/n01440764/ILSVRC2012_val_00046252.JPEG,1,0.9946883320808411,0.9972124771033857,0.0012351873152869842,0.9054908906882592,0.9985975812401083,False,0
imagenette2-320/val/n01440764/n01440764_10120.JPEG,1,0.9970897436141968,0.9993044202711284,0.0010979466740440305,0.9432404540763674,0.9988509796295792,False,0
imagenette2-320/val/n01440764/n01440764_10482.JPEG,1,0.9968497157096863,0.9998472297391562,0.00018057675198650952,0.9854900408917029,0.9998661934603819,False,0
imagenette2-320/val/n01440764/n01440764_10531.JPEG,1,0.9971905946731567,0.9997736971544604,0.00025218078882187356,0.9711891042430592,0.9996668083371553,False,0
imagenette2-320/val/n01440764/n01440764_10542.JPEG,1,0.996244490146637,0.9981941486811948,0.0007642254132711954,0.9019459186252211,0.9983958738766002,False,0
imagenette2-320/val/n01440764/n01440764_10592.JPEG,1,0.9980665445327759,0.9998794311776903,0.0012925175959769067,0.9870746504879979,0.9976899612952124,False,0
imagenette2-320/val/n01440764/n01440764_10792.JPEG,1,0.9971463084220886,0.9991244382394557,0.0007698897164011408,0.9292489105357601,0.9990016331509518,False,0
imagenette2-320/val/n01440764/n01440764_10852.JPEG,1,0.9965927600860596,0.9992864015622012,0.0006601472422109889,0.9515104369246726,0.9990415818319173,False,0
imagenette2-320/val/n01440764/n01440764_1091.JPEG,1,0.9974901676177979,0.9986906980315039,0.0006252331380452512,0.9265327019070779,0.9987557667929811,False,0
imagenette2-320/val/n01440764/n01440764_11400.JPEG,1,0.997422456741333,0.999902130691741,0.00019654921160704945,0.987325059413784,0.9999142561114682,False,0
imagenette2-320/val/n01440764/n01440764_11590.JPEG,1,0.9963151812553406,0.999727678826594,0.000271915383636895,0.9789639758085722,0.9996229742711981,False,0
imagenette2-320/val/n01440764/n01440764_11650.JPEG,1,0.9972265362739563,0.9993398002253332,0.00037311796226339577,0.9424441863466254,0.999444306053723,False,0
imagenette2-320/val/n01440764/n01440764_11652.JPEG,1,0.9964396357536316,0.999816290933664,0.00010617100463099975,0.9604063558218287,0.9998078386934315,False,0
imagenette2-320/val/n01440764/n01440764_11762.JPEG,1,0.9931128025054932,0.9974890331008291,0.0021271587480870937,0.8617192331478046,0.9975176659541173,False,0
imagenette2-320/val/n01440764/n01440764_11841.JPEG,1,0.9939004182815552,0.9973494310667401,0.001442959834189665,0.8990663638657582,0.9980174573830312,False,0
